TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
1.386644, 0.131, -0.185, -1.016, -0.590, -0.078, -0.371, -0.713
1.727982, 0.614, -0.002, -1.925, -0.279, 0.212, -0.752, -0.558
1.962653, 0.245, 0.151, -1.333, -0.340, -0.038, -0.876, -0.339
2.06932, -0.100, -0.833, -0.214, -0.461, -0.055, -0.751, -0.471
2.154649, -1.656, -0.203, -0.103, -0.432, -0.053, -0.783, -0.443
2.197324, 0.452, -0.921, -2.035, -0.436, -0.025, -0.778, -0.452
2.282653, -1.693, -0.142, 0.147, -0.416, 0.000, -0.783, -0.463
2.325329, 0.315, -0.747, -2.206, -0.415, -0.007, -0.800, -0.433
2.410658, -1.428, -0.168, 0.070, -0.383, 0.003, -0.792, -0.476
2.751996, -0.031, -1.346, 0.861, -0.673, 0.009, -0.481, -0.562
5.311996, 0.663, 0.180, -2.679, 0.047, 0.033, -0.255, 0.965
29.20533, 0.745, 0.646, -1.977, -0.325, -0.008, -0.486, -0.811
29.26932, -0.373, 1.141, -1.903, -0.282, -0.200, -0.749, -0.566
29.46132, 2.402, -0.774, -3.256, -0.230, -0.044, -0.537, -0.810
29.48265, 0.785, 0.141, -1.644, -0.177, -0.024, -0.423, -0.889
29.50399, -1.298, 0.443, -0.675, -0.271, -0.145, -0.526, -0.793
29.58932, 0.799, -0.674, -1.190, -0.378, -0.211, -0.561, -0.706
29.61066, 0.279, -0.284, -3.367, -0.366, -0.099, -0.509, -0.773
95.87199, 0.695, -0.753, -1.232, 0.227, -0.027, -0.400, 0.887
96.14932, 0.930, -1.134, -1.676, 0.273, -0.057, -0.400, 0.873
96.23465, 0.422, -0.231, -0.924, 0.261, -0.086, -0.300, 0.914
96.51199, -0.406, 0.147, -0.674, 0.221, -0.060, -0.062, 0.971
96.55465, 1.486, -0.412, -1.363, 0.217, -0.035, -0.110, 0.969
97.81331, -0.617, 0.033, -0.272, -0.331, 0.189, -0.102, -0.919
98.11199, 3.483, -0.675, -2.859, 0.273, -0.005, -0.060, 0.960
103.1253, -0.127, 0.268, -1.990, 0.125, 0.042, -0.426, 0.895
104.384, 0.079, 0.033, -0.988, 0.371, 0.157, -0.352, 0.845
104.9813, 1.183, 0.688, -0.859, 0.204, 0.097, -0.344, 0.911
105.5573, 0.034, -0.351, -0.657, 0.182, 0.159, -0.277, 0.930
110.144, -0.169, 0.203, -1.408, 0.071, -0.016, -0.485, 0.871
111.104, -0.308, 0.341, -1.306, 0.095, 0.022, -0.473, 0.876
112.2773, -0.126, -0.514, -0.732, 0.132, -0.030, -0.332, 0.934
