TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
22.22932, 0.698, 0.488, -0.155, -0.044, -0.574, -0.772, 0.269
22.33599, 2.825, -0.061, -1.148, 0.135, -0.648, -0.747, -0.067
22.39998, -5.626, -1.012, 0.997, 0.064, -0.666, -0.743, 0.008
22.46399, 0.546, -0.383, -2.065, -0.063, -0.619, -0.751, 0.222
22.82664, 0.095, -0.780, 0.227, 0.051, -0.689, -0.499, 0.523
23.59465, 0.016, -0.377, 0.797, 0.320, -0.820, -0.405, 0.247
23.95732, -1.286, 0.408, 2.441, 0.246, -0.952, -0.145, 0.113
24.27732, -0.543, 0.141, 0.943, 0.039, -0.880, -0.414, 0.231
24.31998, 0.566, 0.240, -1.056, 0.143, -0.693, -0.690, 0.152
28.47998, -2.751, -0.654, 1.418, 0.090, -0.697, -0.650, 0.288
28.56533, -1.230, -0.811, -0.048, -0.039, -0.657, -0.586, 0.473
28.84265, -0.376, 0.468, 0.668, 0.252, -0.607, -0.752, 0.056
28.88533, -4.241, -0.515, 1.121, 0.149, -0.674, -0.697, 0.191
28.90664, -3.532, -0.855, -1.842, 0.033, -0.676, -0.610, 0.411
29.37599, -2.348, -0.566, -0.149, -0.003, -0.933, -0.339, 0.123
29.39732, -1.285, -0.887, 0.322, -0.059, -0.921, -0.362, 0.130
29.71733, -1.270, -1.297, 1.456, -0.006, -0.893, -0.408, 0.189
29.75998, -0.438, -0.626, 0.246, 0.081, -0.823, -0.477, 0.297
30.14399, -1.891, -0.919, 1.856, 0.215, -0.677, -0.696, 0.105
30.44265, 0.293, 0.116, -0.242, 0.217, -0.615, -0.753, 0.095
30.52798, -4.056, -1.019, -0.638, 0.086, -0.723, -0.609, 0.315
30.97599, -2.323, -0.628, -0.281, -0.024, -0.935, -0.327, 0.138
31.33866, -0.366, -0.276, 0.180, 0.023, -0.828, -0.509, 0.236
31.67998, -3.729, -1.152, 1.077, 0.084, -0.682, -0.716, 0.126
31.99998, -2.723, -0.767, 0.602, 0.112, -0.668, -0.704, 0.216
32.512, -2.074, -0.551, 0.620, 0.056, -0.930, -0.345, 0.113
32.91732, -0.510, -0.350, -0.348, 0.090, -0.763, -0.554, 0.321
33.23732, 0.797, -2.746, -1.704, -0.489, 0.310, 0.758, 0.300
33.87732, 1.055, -2.024, -0.124, -0.632, 0.469, 0.577, 0.219
33.89866, 0.699, -1.423, -0.682, -0.581, 0.476, 0.649, 0.123
34.00533, 0.392, 2.167, 1.365, -0.639, 0.436, 0.516, 0.367
34.04798, -1.098, 0.206, -0.729, -0.592, 0.490, 0.436, 0.469
34.06932, 0.204, -4.733, -4.177, -0.489, 0.482, 0.579, 0.440
34.112, -0.559, -2.595, -2.391, -0.345, 0.423, 0.754, 0.366
34.15465, 0.464, 3.801, 2.151, -0.371, 0.421, 0.746, 0.359
34.17599, 0.042, 2.660, 2.474, -0.570, 0.443, 0.540, 0.432
34.30399, 1.014, 2.386, 1.643, -0.407, 0.459, 0.693, 0.377
34.41066, 1.231, -4.581, -2.816, -0.392, 0.458, 0.728, 0.325
34.47465, 0.497, 0.230, 1.101, -0.398, 0.439, 0.744, 0.310
34.49599, 0.189, 0.958, 0.036, -0.525, 0.404, 0.633, 0.402
34.85866, -0.822, 0.387, 0.997, 0.228, 0.553, 0.595, -0.536
34.98664, -1.554, 0.731, -0.085, 0.520, 0.450, 0.359, -0.631
35.30664, -0.263, 0.399, -0.702, 0.510, 0.424, 0.238, -0.709
35.34932, 0.237, -1.084, -0.265, 0.449, 0.494, 0.325, -0.670
35.56265, -0.134, 3.725, -0.330, 0.436, 0.480, 0.359, -0.672
35.66932, -0.663, -3.475, 1.076, 0.421, 0.450, 0.386, -0.686
35.71199, -0.336, -1.413, 1.957, 0.415, 0.577, 0.476, -0.518
35.77599, -0.943, 4.378, -1.905, 0.483, 0.553, 0.395, -0.552
35.81866, -0.203, 1.845, -1.498, 0.490, 0.413, 0.336, -0.690
35.83998, -0.698, -2.466, 0.686, 0.480, 0.417, 0.353, -0.686
35.90399, 0.081, -1.446, 0.709, 0.445, 0.582, 0.469, -0.493
35.96798, -0.507, 5.368, -1.609, 0.456, 0.429, 0.363, -0.690
36.01066, -0.844, 0.770, -0.909, 0.466, 0.328, 0.301, -0.765
36.18132, -0.172, -0.142, -0.575, 0.267, 0.549, 0.493, -0.621
36.54399, -1.331, 3.183, 0.928, 0.435, 0.483, 0.315, -0.692
36.82132, -0.304, -0.141, 0.476, 0.386, 0.565, 0.348, -0.640
36.90664, 0.081, 4.389, -2.319, 0.437, 0.303, 0.084, -0.843
37.26932, -0.116, 5.334, -1.539, 0.445, 0.359, 0.337, -0.748
37.312, 0.309, 2.893, -2.204, 0.461, 0.240, 0.193, -0.832
37.39732, -0.422, -2.447, 0.646, 0.437, 0.398, 0.334, -0.734
37.48265, -0.044, -0.193, 0.198, 0.448, 0.600, 0.445, -0.491
37.54664, 0.228, 2.295, -1.645, 0.468, 0.444, 0.309, -0.699
37.61066, -0.688, -1.871, 1.284, 0.416, 0.461, 0.323, -0.714
37.67465, 0.392, -1.746, 0.096, 0.352, 0.619, 0.462, -0.528
37.71732, 0.718, -0.768, -0.320, 0.335, 0.553, 0.404, -0.648
37.73866, 0.337, 2.827, -1.949, 0.326, 0.485, 0.343, -0.735
37.78131, 0.978, 3.353, -3.014, 0.291, 0.314, 0.169, -0.888
37.84533, -0.204, -1.467, 0.836, 0.252, 0.382, 0.277, -0.845
38.22932, -0.724, 4.439, -0.007, 0.393, 0.476, 0.261, -0.742
39.10399, 1.457, 1.647, -1.060, 0.207, -0.157, -0.230, -0.938
39.40265, 1.072, 0.833, -1.418, 0.221, -0.176, -0.437, -0.854
39.46664, 1.418, 1.225, -2.306, 0.255, -0.179, -0.401, -0.861
39.59465, 0.738, -0.752, 0.079, 0.342, 0.186, -0.106, -0.915
39.95732, 0.180, -0.126, 0.365, -0.606, -0.185, 0.145, 0.759
40.06399, 0.896, 0.755, -1.292, 0.538, 0.460, 0.045, -0.705
43.98932, -0.436, 0.037, 0.179, -0.519, 0.360, 0.641, 0.437
44.13866, -0.144, -2.323, -1.882, -0.183, 0.539, 0.814, -0.119
44.47998, 0.239, 0.747, 0.964, -0.540, 0.509, 0.655, 0.141
45.29066, -1.138, -4.071, -1.726, -0.006, 0.509, 0.859, -0.060
45.33331, -0.622, -2.296, -2.350, 0.057, 0.480, 0.870, -0.101
46.46399, -0.886, 1.451, -1.787, -0.120, -0.413, -0.777, 0.459
46.52798, -2.893, -0.019, -0.099, -0.130, -0.369, -0.568, 0.724
46.57066, -2.110, -0.334, 0.286, -0.106, -0.421, -0.425, 0.794
46.86932, -0.622, -1.434, -1.808, -0.287, -0.389, -0.442, 0.755
47.57331, -0.369, -0.184, -1.791, -0.509, 0.312, 0.540, 0.593
47.70132, -0.062, 2.939, 0.001, 0.336, 0.456, 0.038, -0.823
49.55732, -0.207, 0.856, -0.007, 0.788, 0.522, 0.311, -0.103
49.62132, 1.355, 1.379, 0.839, 0.749, 0.588, 0.280, -0.126
49.70664, 1.125, -0.877, 1.933, 0.584, 0.808, 0.067, -0.047
51.19998, 3.867, 1.675, 1.344, -0.850, -0.446, -0.166, -0.225
51.24265, 2.426, 0.894, -0.605, 0.834, 0.383, 0.388, 0.082
52.13866, 0.395, -2.361, 0.228, -0.477, -0.253, -0.087, 0.837
52.18132, 0.793, -2.975, 0.952, -0.589, -0.170, 0.098, 0.784
52.20265, 2.754, -4.828, 1.383, -0.644, -0.116, 0.217, 0.724
52.24533, 5.270, -2.630, 0.098, -0.696, 0.036, 0.480, 0.532
52.28798, 3.783, -1.224, -2.609, -0.603, 0.240, 0.705, 0.285
52.30932, 3.218, -0.692, -1.912, -0.431, 0.394, 0.776, 0.239
52.33066, 1.823, -0.242, -0.353, -0.428, 0.415, 0.772, 0.221
54.10131, -2.730, -1.260, 0.767, -0.567, 0.428, 0.547, 0.443
54.14399, -2.388, -3.086, 1.709, -0.517, 0.574, 0.620, 0.139
54.18665, -1.609, -3.566, -1.462, -0.450, 0.609, 0.652, -0.028
54.22932, -0.231, -3.431, 0.053, -0.140, 0.643, 0.675, -0.334
54.272, 0.110, -1.814, 0.502, -0.188, 0.652, 0.623, -0.389
55.21066, -2.872, -1.617, 2.380, 0.536, -0.835, 0.097, 0.074
55.25331, -4.646, -1.069, 1.803, -0.438, 0.891, -0.057, 0.110
55.31733, -2.905, -1.036, -1.769, -0.309, 0.808, 0.251, 0.435
55.35998, -0.961, -1.899, -2.184, -0.150, 0.655, 0.472, 0.571
55.38131, -0.483, -0.825, -1.736, -0.053, 0.523, 0.548, 0.651
56.17066, -0.752, 1.277, -1.403, -0.326, 0.053, 0.442, 0.834
56.29866, -1.780, 0.559, -1.108, -0.225, 0.032, 0.442, 0.868
56.29866, -2.623, 0.013, -0.633, -0.256, 0.081, 0.551, 0.790
